wavenumber,neuron-1 sub,neuron-1 sub2,neuron-2 sub,neuron-2 sub2,neuron-3 sub good,neuron-3 sub2
401,54.907,-12.182,214.01,262.31,324.71,-6.976
402,93.465,31.772,237.51,278.2,360.12,45.501
403,132.02,75.725,261,294.1,395.53,97.979
404,170.58,119.68,284.5,309.99,430.94,150.46
405,190.74,154.25,291.16,317.78,435.99,181.28
406,173.72,169.86,263.8,309.16,379.64,168.35
407,156.71,185.47,236.43,300.54,323.3,155.42
408,139.69,201.08,209.07,291.93,266.96,142.49
409,124.6,215.81,188.5,287.23,216.15,132.1
410,128.84,221.75,235.71,321.71,220.55,147.11
411,133.07,227.7,282.92,356.19,224.95,162.13
412,137.31,233.64,330.13,390.66,229.35,177.14
413,141.54,239.58,377.34,425.14,233.75,192.15
414,121.49,224.33,384.11,436.43,236.43,227.1
415,97.383,205.55,384.13,443.86,238.83,265.36
416,73.277,186.76,384.15,451.28,241.22,303.63
417,49.17,167.98,384.18,458.71,243.62,341.89
418,35.055,148.55,375.41,448.15,214.23,324.95
419,26.91,128.74,361.4,426.86,165.86,275.03
420,18.764,108.92,347.39,405.56,117.48,225.11
421,10.619,89.113,333.38,384.26,69.1,175.18
422,-8.5923,76.578,322.11,376.07,58.889,174.49
423,-44.402,74.96,314.94,387.52,105.93,247.63
424,-80.212,73.342,307.78,398.98,152.97,320.78
425,-116.02,71.724,300.61,410.43,200.01,393.93
426,-143.57,60.988,296.64,414.24,234.6,442.53
427,-132.97,8.1444,307.47,382.78,211.73,377.78
428,-122.38,-44.699,318.3,351.31,188.86,313.03
429,-111.78,-97.542,329.13,319.84,165.99,248.28
430,-101.18,-150.39,339.95,288.37,143.12,183.53
431,-71.813,-155.45,362.27,293.64,164.15,182.05
432,-41.684,-158.57,385.05,300.41,186.95,183.13
433,-11.554,-161.7,407.83,307.17,209.75,184.22
434,18.575,-164.82,430.61,313.93,232.55,185.3
435,34.237,-116.81,410.4,334.6,235.95,223.89
436,44.999,-51.492,375.63,359.99,232.78,275.17
437,55.762,13.831,340.86,385.37,229.61,326.46
438,66.524,79.154,306.08,410.76,226.43,377.74
439,56.407,101.82,281.08,423.53,233.29,414.87
440,28.431,87.99,264.44,425.52,248.71,439.89
441,0.4553,74.163,247.8,427.51,264.14,464.9
442,-27.52,60.337,231.15,429.49,279.56,489.92
443,-29.82,53.338,221.72,417.79,287.26,488.15
444,18.621,59.831,226.53,379.03,279.69,433.44
445,67.061,66.324,231.35,340.28,272.11,378.73
446,115.5,72.817,236.17,301.52,264.54,324.02
447,154.73,73.737,235.67,261.12,261.26,278
448,134.4,38.637,200.8,210.08,285.74,288.13
449,114.08,3.5366,165.93,159.04,310.23,298.26
450,93.749,-31.563,131.06,108,334.71,308.39
451,73.423,-66.663,96.192,56.965,359.2,318.52
452,57.582,-64.424,81.758,63.456,303.18,283.08
453,42.027,-59.802,68.628,73.619,242.02,244.73
454,26.472,-55.179,55.498,83.782,180.86,206.38
455,10.917,-50.557,42.368,93.945,119.7,168.03
456,-14.891,-63.953,65.389,133.48,113.73,178.44
457,-44.134,-83.386,100.52,182.86,126.24,205.2
458,-73.378,-102.82,135.66,232.24,138.76,231.95
459,-102.62,-122.25,170.8,281.62,151.28,258.71
460,-130.58,-143.86,164.45,286.05,160.66,278.97
461,-157.53,-167.16,125.9,255.58,167.6,294.21
462,-184.48,-190.47,87.356,225.12,174.55,309.44
463,-211.44,-213.77,48.81,194.66,181.49,324.67
464,-207.51,-213.54,40.302,186.89,168.69,312.85
465,-153.41,-175.1,80.599,215.96,123.78,257.06
466,-99.313,-136.65,120.9,245.04,78.88,201.28
467,-45.215,-98.205,161.19,274.12,33.978,145.5
468,1.7292,-73.899,195.13,287.65,4.0558,95.784
469,20.414,-105.45,203.95,239.8,33.315,70.064
470,39.099,-136.99,212.77,191.94,62.573,44.343
471,57.784,-168.54,221.58,144.08,91.832,18.623
472,75.537,-198.09,229.63,98.341,121.95,-3.3391
473,63.155,-162.98,212.55,121.11,179.85,96.229
474,50.772,-127.86,195.47,143.89,237.75,195.8
475,38.39,-92.746,178.39,166.66,295.64,295.36
476,26.007,-57.631,161.31,189.43,353.54,394.93
477,6.7669,-75.798,145.51,164.94,312.95,347.47
478,-13.581,-102.57,129.93,132.82,256.46,276.26
479,-33.928,-129.34,114.34,100.7,199.98,205.06
480,-54.276,-156.11,98.755,68.582,143.49,133.85
481,-48.947,-148.08,130.3,85.17,153.49,130.67
482,-32.456,-124.92,182.33,122.93,192.4,157.06
483,-15.965,-101.77,234.36,160.69,231.31,183.45
484,0.52549,-78.618,286.39,198.46,270.22,209.84
485,3.2521,-57.82,287.74,208.48,281.05,230.95
486,-5.9366,-39.06,245.22,194.49,267.57,247.49
487,-15.125,-20.299,202.7,180.5,254.09,264.03
488,-24.314,-1.539,160.17,166.51,240.62,280.57
489,-15.125,18.402,157.01,174.69,248.22,300.99
490,23.923,40.261,217.81,218.88,290.05,327.7
491,62.971,62.12,278.6,263.06,331.89,354.42
492,102.02,83.979,339.39,307.25,373.73,381.13
493,132.47,104.92,382.39,341.32,405.87,408.82
494,134,122.76,365.49,341.32,405.37,439.75
495,135.53,140.61,348.58,341.32,404.87,470.69
496,137.05,158.45,331.68,341.32,404.37,501.63
497,141.21,176.67,317.16,341.08,404.55,531.17
498,174.08,198.96,328.73,338.28,412.19,545.53
499,206.96,221.24,340.3,335.48,419.83,559.88
500,239.83,243.52,351.87,332.67,427.47,574.23
501,272.7,265.8,363.44,329.87,435.11,588.59
502,208.78,189.87,335.46,296.68,372.73,516.83
503,139.01,108,305.08,261.64,306.11,439.87
504,69.245,26.135,274.7,226.61,239.49,362.9
505,-0.52494,-55.733,244.32,191.58,172.86,285.94
506,-29.629,-106.35,222.02,155.36,203.86,276.77
507,-48.82,-149.35,201.68,118.85,258.66,284.13
508,-68.011,-192.35,181.34,82.344,313.46,291.48
509,-87.202,-235.35,161,45.835,368.26,298.84
510,-82.387,-243.83,160.98,40.166,371.95,267.3
511,-65.801,-235.39,170.92,49.616,350.6,216.7
512,-49.215,-226.95,180.86,59.067,329.24,166.09
513,-32.629,-218.51,190.8,68.517,307.88,115.48
514,-24.738,-194.61,181.1,83.401,282.57,92.737
515,-24.195,-157.65,154.8,102.87,253.92,93.534
516,-23.652,-120.69,128.5,122.35,225.27,94.332
517,-23.108,-83.722,102.2,141.82,196.61,95.129
518,-27.623,-51.549,84.383,167.75,186.96,115.15
519,-39.21,-26.072,78.427,202.7,203.86,162.04
520,-50.797,-0.59453,72.472,237.65,220.77,208.92
521,-62.383,24.883,66.516,272.61,237.67,255.81
