wavenumber,nerve-1 sub,nerve-1 sub2,nerve-2 sub,nerve-2 sub2,nerve-2 sub3,nerve-3 sub,nerve-3 sub2
401,177.09,562.65,272.15,137.33,116.44,353.83,315.56
402,181.08,531.41,297.55,180.37,159.48,371.72,338.79
403,185.07,500.18,322.94,223.42,202.53,389.62,362.02
404,189.06,468.94,348.33,266.46,245.57,407.51,385.24
405,191.66,427.6,369.66,296.72,275.83,440.84,415.19
406,191.47,365.83,382.78,301.15,280.26,505.36,458.7
407,191.27,304.07,395.9,305.57,284.68,569.88,502.21
408,191.07,242.3,409.01,310,289.11,634.41,545.73
409,199.4,191.71,418.32,313.26,292.99,691.28,584.24
410,292.89,252.73,389.55,304.9,291.41,671.73,572.79
411,386.38,313.75,360.78,296.55,289.84,652.18,561.34
412,479.86,374.78,332,288.19,288.27,632.63,549.89
413,573.35,435.8,303.23,279.84,286.7,613.08,538.44
414,579.47,401.15,283.5,244,257.18,616.54,527.33
415,571,350.54,265.27,203.58,223,623.83,516.27
416,562.54,299.93,247.04,163.15,188.81,631.12,505.22
417,554.08,249.32,228.81,122.73,154.63,638.42,494.17
418,540.96,219.56,272.82,153.53,188.84,615.73,483.11
419,525.07,202.25,354.03,226.88,263.91,575.13,472.03
420,509.17,184.94,435.23,300.23,338.98,534.53,460.96
421,493.28,167.63,516.44,373.58,414.05,493.93,449.89
422,508.03,169.11,575.76,413.19,448.59,442.6,422.6
423,568.77,198.77,602.28,402.18,422.34,375.17,370.97
424,629.5,228.43,628.8,391.18,396.08,307.74,319.34
425,690.24,258.09,655.32,380.18,369.83,240.31,267.72
426,736.88,288.01,665.48,365.47,342.96,195.74,240.35
427,718.45,319.12,600.1,333.66,313.3,256.75,325.01
428,700.01,350.23,534.72,301.84,283.63,317.76,409.67
429,681.57,381.34,469.34,270.03,253.96,378.77,494.33
430,663.14,412.45,403.96,238.22,224.3,439.78,579
431,597.35,381.01,426.34,284.15,286.87,464.37,614.02
432,529.63,347.03,452.27,333.25,353.19,487.48,647.02
433,461.92,313.05,478.2,382.34,419.51,510.59,680.03
434,394.21,279.07,504.14,431.43,485.83,533.71,713.03
435,427.86,282.07,467.75,381.06,434.46,495.78,632.08
436,495.84,297.61,410.26,297.01,343.22,437.18,512.53
437,563.82,313.15,352.77,212.95,251.99,378.58,392.98
438,631.79,328.68,295.27,128.89,160.75,319.99,273.43
439,654.9,321.89,255.94,85.315,113.65,296.79,215.31
440,639.63,296.01,232.15,76.355,104.3,303.87,209.72
441,624.36,270.13,208.35,67.395,94.948,310.95,204.14
442,609.09,244.25,184.56,58.436,85.596,318.02,198.55
443,575.48,221.08,165.95,62.849,90.021,321.41,207.94
444,505.64,203.28,157.58,93.69,121.67,317.49,246.93
445,435.8,185.48,149.21,124.53,153.32,313.58,285.92
446,365.96,167.68,140.85,155.37,184.97,309.67,324.91
447,298.39,148.51,132.58,182.4,212.72,306.96,361.28
448,245.51,120.5,124.95,184.75,215.29,312.05,380.75
449,192.63,92.489,117.32,187.11,217.87,317.14,400.22
450,139.75,64.478,109.69,189.46,220.44,322.23,419.69
451,86.876,36.468,102.06,191.82,223.01,327.33,439.16
452,111.15,50.672,108.06,172.87,204.28,262.13,352.37
453,140.34,67.571,114.93,152.56,184.19,192.45,258.81
454,169.54,84.47,121.8,132.25,164.1,122.77,165.24
455,198.74,101.37,128.67,111.94,144.01,53.082,71.673
456,219.29,114.33,135.74,98.614,130.9,60.601,62.087
457,236.95,125.96,142.87,87.623,120.12,93.991,80.644
458,254.61,137.59,150.01,76.632,109.35,127.38,99.201
459,272.27,149.23,157.15,65.641,98.575,160.77,117.76
460,262.52,135.68,155.7,50.637,82.596,171.74,117.36
461,231.5,102.59,147.58,32.518,62.576,165.3,102.25
462,200.48,69.496,139.47,14.399,42.555,158.86,87.132
463,169.45,36.403,131.35,-3.7199,22.535,152.42,72.019
464,156.87,29.102,121.5,-16,8.0054,146.73,65.007
465,174.24,63.706,108.83,-18.795,2.3961,142.25,71.157
466,191.61,98.311,96.16,-21.59,-3.2132,137.78,77.307
467,208.98,132.91,83.49,-24.385,-8.8226,133.3,83.457
468,215.49,165.57,69.899,-19.187,-6.4389,129.98,98.809
469,179.1,190.53,52.673,17.587,27.521,131.22,150.51
470,142.7,215.49,35.447,54.361,61.48,132.47,202.22
471,106.31,240.46,18.221,91.134,95.44,133.72,253.92
472,72.355,264.96,3.7997,127.95,129.44,134.33,301.95
473,117.47,274.78,80.066,166.16,164.84,114.23,231.05
474,162.58,284.6,156.33,204.38,200.24,94.137,160.15
475,207.7,294.43,232.6,242.59,235.64,74.043,89.254
476,252.81,304.25,308.87,280.8,271.04,53.949,18.357
477,231.98,296.67,294.41,276.89,264.31,87.716,58.456
478,200.5,286.29,265.3,266.18,250.79,130.18,116.47
479,169.02,275.9,236.2,255.47,237.26,172.64,174.49
480,137.54,265.52,207.09,244.76,223.74,215.1,232.51
481,137.43,284.96,221.34,264.87,243.58,197.68,229.11
482,150.95,317.38,254.44,298.39,277.92,154.21,199
483,164.47,349.79,287.54,331.9,312.26,110.75,168.89
484,177.99,382.21,320.63,365.41,346.6,67.289,138.79
485,159.93,360.25,329.46,347.21,332,80.822,140.29
486,114.54,291.22,317.28,284.24,275.03,143.69,169.17
487,69.151,222.19,305.09,221.28,218.07,206.57,198.04
488,23.761,153.17,292.91,158.32,161.1,269.44,226.92
489,17.121,130.67,286.5,130.94,138.25,323.28,260.81
490,73.438,183.77,289.49,161.38,170.85,362.44,302.87
491,129.76,236.87,292.47,191.83,203.45,401.61,344.93
492,186.07,289.97,295.46,222.27,236.05,440.78,386.99
493,233.08,330.63,299.17,246.86,262.41,470.34,412.12
494,248.76,329.39,305.3,251.74,267.79,467.58,380.21
495,264.44,328.15,311.44,256.61,273.17,464.82,348.3
496,280.12,326.91,317.57,261.49,278.55,462.06,316.4
497,295.4,327.54,322,266.43,283.77,459.97,289.8
498,306.35,348.47,307.82,272.09,287.34,465.25,321.05
499,317.3,369.41,293.64,277.74,290.9,470.52,352.3
500,328.24,390.35,279.46,283.4,294.46,475.79,383.54
501,339.19,411.28,265.28,289.05,298.02,481.06,414.79
502,318.61,391.18,229.64,262.65,269.53,432.42,397.16
