wavenumber,nerve-1 sub,nerve-2 sub,nerve-3 sub,nerve-4 sub,nerve-5 sub,nerve-6 sub
401,-12.37,182.86,1.6277,142.06,-34.71,67.037
402,6.6074,194.27,1.7851,136.28,-57.407,106.86
403,25.585,205.69,1.9425,130.5,-80.104,146.68
404,44.562,217.11,2.0998,124.73,-102.8,186.5
405,61.902,239.03,11.763,126.93,-93.19,223.17
406,75.933,282.18,40.638,145.28,-18.276,253.46
407,89.964,325.32,69.513,163.63,56.638,283.75
408,104,368.47,98.388,181.98,131.55,314.04
409,118.55,408.07,127.67,207.51,200.8,341.48
410,138.39,412.17,161.02,304.78,213.44,340.44
411,158.22,416.27,194.37,402.05,226.09,339.4
412,178.06,420.37,227.72,499.32,238.73,338.36
413,197.89,424.47,261.07,596.59,251.38,337.32
414,241.32,462.55,233.77,588.06,278.19,369.4
415,288.68,506.31,196.36,561.88,307.37,407
416,336.04,550.06,158.94,535.7,336.54,444.6
417,383.4,593.82,121.53,509.52,365.72,482.21
418,397.88,605.45,125.95,455.16,378.31,471.62
419,392.72,597.9,155.36,383.95,380.98,432.24
420,387.55,590.34,184.78,312.74,383.65,392.87
421,382.38,582.78,214.19,241.53,386.33,353.49
422,387.86,541.64,238.76,187.84,394.4,336.48
423,409.3,450.14,256.07,160.43,410.58,353.02
424,430.73,358.64,273.37,133.02,426.75,369.56
425,452.17,267.13,290.67,105.6,442.93,386.1
426,466.15,189.87,305.75,87.198,446.6,403.05
427,445.71,178.35,310.54,110.39,392.51,421.88
428,425.26,166.83,315.33,133.58,338.43,440.71
429,404.81,155.31,320.12,156.77,284.34,459.54
430,384.37,143.79,324.91,179.96,230.25,478.37
431,349.02,139.34,355.93,204.42,216.41,488.79
432,313.06,135.18,388.01,228.93,204.2,498.87
433,277.1,131.02,420.09,253.43,191.99,508.95
434,241.14,126.86,452.17,277.94,179.78,519.03
435,217,113.88,396.49,295,177.59,465.83
436,196.86,97.919,311.08,309.53,178.8,391.19
437,176.72,81.956,225.67,324.07,180.02,316.56
438,156.58,65.994,140.27,338.6,181.23,241.92
439,150.33,81.395,117.26,338.7,183.77,186.54
440,155.98,123.62,147.61,326.46,187.44,147.63
441,161.62,165.85,177.97,314.22,191.11,108.72
442,167.26,208.08,208.33,301.98,194.79,69.809
443,169.26,225.43,212.32,286.33,187.09,60.709
444,164.05,193.61,164.2,263.93,156.94,110.52
445,158.85,161.8,116.08,241.53,126.78,160.33
446,153.64,129.99,67.964,219.13,96.622,210.14
447,154.66,108.48,27.358,201.81,76.038,250.52
448,195.93,153.63,35.308,217.37,117.32,229.95
449,237.2,198.77,43.258,232.92,158.6,209.38
450,278.47,243.92,51.208,248.47,199.88,188.81
451,319.74,289.06,59.158,264.02,241.17,168.24
452,291.73,316.68,90.477,217.79,197.84,193.33
453,259.3,343.18,123.29,167.62,149.12,221.33
454,226.86,369.69,156.1,117.45,100.4,249.33
455,194.43,396.19,188.91,67.284,51.677,277.34
456,142.11,336.29,155.78,44.642,43.724,234.92
457,83.133,247.44,100.55,31.224,49.433,168.9
458,24.153,158.59,45.317,17.806,55.143,102.88
459,-34.827,69.735,-9.9132,4.3889,60.853,36.864
460,-33.819,60.057,-19.415,7.566,60.695,0.17022
461,13.753,111.84,6.5777,23.624,55.982,-13.761
462,61.325,163.61,32.57,39.682,51.27,-27.693
463,108.9,215.39,58.563,55.74,46.558,-41.624
464,127.74,247.39,91.473,77.112,40.094,-12.92
465,99.907,247.25,135.62,107.12,30.784,85.054
466,72.074,247.11,179.77,137.13,21.475,183.03
467,44.242,246.96,223.92,167.13,12.165,281
468,26.576,252.81,254.58,190.68,10.833,353.45
469,49.077,282.34,231.92,188.73,41.014,325.07
470,71.577,311.87,209.26,186.78,71.195,296.69
471,94.077,341.4,186.61,184.82,101.38,268.32
472,115.33,368.01,163.44,183.07,131.35,240.58
473,96.104,300.18,123.57,187.85,154.63,233.68
474,76.883,232.35,83.708,192.63,177.91,226.77
475,57.662,164.51,43.844,197.41,201.19,219.87
476,38.441,96.681,3.9805,202.19,224.47,212.97
477,31.979,89.931,14.839,188.68,214.27,190.85
478,27.576,93.043,33.885,172.23,198.66,166.29
479,23.174,96.154,52.932,155.78,183.05,141.72
480,18.771,99.266,71.979,139.33,167.44,117.15
481,47.51,119.44,83.272,146.14,158.7,101.91
482,90.655,147.03,91.193,163.07,152.93,90.721
483,133.8,174.62,99.115,180,147.16,79.533
484,176.95,202.22,107.04,196.94,141.39,68.345
485,185.55,218.92,143.98,222.18,159.25,110.2
486,164.26,226.2,206.05,254.62,197.55,197.97
487,142.98,233.48,268.12,287.05,235.85,285.73
488,121.69,240.76,330.2,319.49,274.15,373.5
489,163.37,236.61,385.68,342.4,283.82,437.35
490,307.37,213.9,430.46,349.83,246.98,462.34
491,451.37,191.18,475.24,357.26,210.14,487.33
492,595.36,168.46,520.02,364.69,173.29,512.32
493,683.69,157.86,555.74,366.52,145.65,519.78
494,584.56,188.06,560.95,349.52,149,468.17
495,485.43,218.27,566.16,332.52,152.34,416.57
496,386.3,248.48,571.37,315.52,155.68,364.97
497,294.03,277.57,570.96,298.61,158.71,316.42
498,276.56,294.44,509.33,282.74,158.42,301.19
499,259.08,311.3,447.71,266.87,158.13,285.95
500,241.61,328.17,386.08,251,157.84,270.71
501,224.14,345.04,324.46,235.13,157.55,255.47
502,314.81,333.43,351.3,244.32,255.63,313.98
503,412.01,320.09,383.49,255.02,359.66,376.95
504,509.22,306.76,415.69,265.72,463.68,439.92
505,606.43,293.42,447.88,276.42,567.71,502.9
506,587.27,311.49,447.41,296.71,577.46,511.54
507,539.74,337.2,438.98,319.34,564.23,506.94
508,492.21,362.92,430.55,341.97,551,502.34
509,444.68,388.64,422.12,364.6,537.77,497.74
510,415.13,397.42,441.15,390.44,515.17,492.31
511,394.38,397.88,473.65,417.84,487.97,486.48
512,373.64,398.35,506.15,445.25,460.77,480.65
513,352.9,398.81,538.65,472.66,433.58,474.82
514,308.49,395.13,556.21,542.6,427.72,449.98
515,244.09,387.95,561.13,648.48,439.89,409.07
516,179.68,380.77,566.05,754.36,452.07,368.17
517,115.28,373.59,570.98,860.24,464.24,327.26
518,104.21,386.76,557.17,890.21,473.9,306.85
519,167.7,428.36,517.19,814.07,480.05,315.1
520,231.2,469.96,477.21,737.92,486.19,323.36
521,294.69,511.56,437.22,661.77,492.33,331.61
522,337,542.29,419.04,609.09,479.51,341.52
523,328.93,547.14,452.71,612.22,421.56,355.38
524,320.87,551.98,486.38,615.36,363.61,369.24
525,312.8,556.83,520.05,618.49,305.66,383.1
526,306.68,567.62,544.64,622.56,263.86,388.38
527,309.45,605.48,527.88,630.87,295.6,354.6
528,312.22,643.33,511.11,639.19,327.35,320.82
529,314.99,681.18,494.34,647.5,359.1,287.04
530,320.77,713.81,483.26,652.45,387.95,252.85
531,367.29,675.96,548.84,611.95,377.71,213.13
532,413.82,638.12,614.43,571.45,367.47,173.41
533,460.34,600.27,680.01,530.95,357.22,133.69
534,506.86,562.43,745.59,490.44,346.98,93.97
535,463.9,541.24,683.81,441.18,338.68,295.54
536,417.5,520.7,617.13,391.58,330.45,506.38
537,371.11,500.16,550.45,341.99,322.22,717.22
538,324.71,479.62,483.77,292.39,313.99,928.06
539,284.01,465.76,480.04,323.18,323.94,871.73
540,244.25,452.99,486.55,367.05,336.84,771.92
541,204.48,440.22,493.06,410.92,349.75,672.1
542,164.71,427.45,499.57,454.8,362.65,572.28
543,167.78,390.01,449.43,432.31,377.16,481.92
544,184.23,344.86,381.59,389.1,392.16,394.51
545,200.68,299.71,313.76,345.89,407.17,307.1
546,217.13,254.56,245.92,302.68,422.17,219.69
547,206.34,238.62,227.32,282.26,366.98,211.61
548,182.03,237.19,233.18,273.17,276.9,242.96
549,157.71,235.77,239.05,264.08,186.83,274.3
550,133.4,234.35,244.91,254.99,96.751,305.65
551,108.29,232.81,250.3,233.35,53.077,288.98
552,82.604,231.18,255.33,202.54,43.284,237.24
553,56.918,229.55,260.37,171.74,33.49,185.5
554,31.232,227.92,265.4,140.93,23.696,133.77
555,24.721,217.12,246.86,136.33,24.424,134.02
556,37.851,196.92,204.17,158.57,35.93,187.52
557,50.982,176.72,161.47,180.81,47.436,241.02
558,64.113,156.52,118.78,203.05,58.941,294.53
559,67.792,155.74,86.841,221.97,83.338,328.05
560,58.038,182.55,70.187,236.18,126.06,333.17
561,48.284,209.36,53.533,250.39,168.78,338.28
562,38.529,236.18,36.879,264.6,211.5,343.4
563,45.343,247.8,46.297,262.9,243.67,348.4
564,84.751,229.55,107.01,229.9,255.1,353.18
565,124.16,211.29,167.71,196.91,266.53,357.95
566,163.57,193.03,228.42,163.91,277.96,362.73
567,208.58,174.66,267.84,148.18,296.62,363.02
568,269.08,155.96,248.49,180.1,335.23,350.92
569,329.58,137.27,229.15,212.01,373.85,338.82
570,390.08,118.58,209.81,243.93,412.46,326.73
571,428.81,105.26,198.61,271.04,435.87,312.36
572,379.36,113.71,220.42,278.67,397.71,288.81
573,329.91,122.17,242.23,286.3,359.56,265.27
574,280.45,130.62,264.04,293.92,321.4,241.72
575,231.28,136.39,282.71,301.23,284.97,222.64
576,183.84,125.31,281.59,306.5,259.38,231.64
577,136.41,114.23,280.48,311.76,233.79,240.64
