wavenumber,nerve sub,nerve-1 sub,nerve-1 sub2,nerve-2 sub,nerve-2 sub2,nerve-2 sub3,nerve-3 sub,nerve-4 sub
401,-8.4153,95.054,562.65,56.198,137.33,116.44,118.97,-12.792
402,-34.167,42.366,531.41,50.379,180.37,159.48,87.782,-37.455
403,-59.92,-10.322,500.18,44.56,223.42,202.53,56.59,-62.118
404,-85.672,-63.01,468.94,38.741,266.46,245.57,25.399,-86.781
405,-100.72,-104.75,427.6,25.045,296.72,275.83,-10.109,-100.79
406,-94.117,-124.36,365.83,-4.5744,301.15,280.26,-54.341,-93.266
407,-87.518,-143.98,304.07,-34.193,305.57,284.68,-98.573,-85.742
408,-80.918,-163.59,242.3,-63.813,310,289.11,-142.8,-78.218
409,-77.509,-182.79,191.71,-92.406,313.26,292.99,-184.14,-73.988
410,-105.96,-197.8,252.73,-110.75,304.9,291.41,-196.48,-102.65
411,-134.41,-212.8,313.75,-129.1,296.55,289.84,-208.82,-131.32
412,-162.85,-227.81,374.78,-147.44,288.19,288.27,-221.16,-159.99
413,-191.3,-242.82,435.8,-165.79,279.84,286.7,-233.51,-188.65
414,-162.35,-182.38,401.15,-146.61,244,257.18,-166.65,-159.92
415,-123.83,-109.34,350.54,-121.16,203.58,223,-86.583,-121.61
416,-85.301,-36.307,299.93,-95.722,163.15,188.81,-6.5131,-83.303
417,-46.774,36.728,249.32,-70.281,122.73,154.63,73.557,-44.994
418,-13.625,45.824,219.56,-35.174,153.53,188.84,82.371,-12.062
419,16.312,16.72,202.25,5.7083,226.88,263.91,48.615,17.657
420,46.248,-12.383,184.94,46.59,300.23,338.98,14.858,47.376
421,76.185,-41.487,167.63,87.472,373.58,414.05,-18.898,77.094
422,96.148,-32.053,169.11,94.652,413.19,448.59,-53.619,97.016
423,101.15,35.186,198.77,51.278,402.18,422.34,-89.787,102.24
424,106.16,102.43,228.43,7.9051,391.18,396.08,-125.95,107.46
425,111.16,169.67,258.09,-35.468,380.18,369.83,-162.12,112.69
426,109.76,219.52,288.01,-64.57,365.47,342.96,-179.13,111.94
427,78.771,189.12,319.12,-27.766,333.66,313.3,-107.64,83.587
428,47.785,158.72,350.23,9.0389,301.84,283.63,-36.151,55.236
429,16.798,128.31,381.34,45.843,270.03,253.96,35.337,26.886
430,-14.188,97.906,412.45,82.648,238.22,224.3,106.82,-1.4646
431,12.373,90.482,381.01,94.279,284.15,286.87,112.53,27.733
432,41.269,83.99,347.03,104.89,333.25,353.19,115.57,59.266
433,70.166,77.498,313.05,115.5,382.34,419.51,118.61,90.8
434,99.062,71.006,279.07,126.11,431.43,485.83,121.65,122.33
435,100.01,101.82,282.07,108.44,381.06,434.46,125.33,125.91
436,91.484,145.26,297.61,81.191,297.01,343.22,129.22,120.03
437,82.961,188.71,313.15,53.942,212.95,251.99,133.12,114.14
438,74.439,232.16,328.68,26.693,128.89,160.75,137.01,108.25
439,60.751,218.33,321.89,9.9844,85.315,113.65,115.55,97.203
440,42.645,155.51,296.01,2.2897,76.355,104.3,72.393,81.733
441,24.539,92.692,270.13,-5.405,67.395,94.948,29.238,66.263
442,6.4326,29.875,244.25,-13.1,58.436,85.596,-13.917,50.793
443,-13.584,-21.393,221.08,-28.703,62.849,90.021,-53.949,32.436
444,-37.374,-49.836,203.28,-59.935,93.69,121.67,-87.813,8.3725
445,-61.165,-78.279,185.48,-91.167,124.53,153.32,-121.68,-15.691
446,-84.956,-106.72,167.68,-122.4,155.37,184.97,-155.54,-39.755
447,-110.45,-128.01,148.51,-147.37,182.4,212.72,-179.19,-66.193
448,-146.92,-103.06,120.5,-131.92,184.75,215.29,-136.83,-107.98
449,-183.4,-78.117,92.489,-116.46,187.11,217.87,-94.471,-149.76
450,-219.87,-53.17,64.478,-101.01,189.46,220.44,-52.112,-191.54
451,-256.35,-28.223,36.468,-85.549,191.82,223.01,-9.7534,-233.32
452,-166.52,-36.046,50.672,-56.109,172.87,204.28,-2.1945,-145.53
453,-68.641,-45.959,67.571,-25.777,152.56,184.19,3.1431,-49.459
454,29.243,-55.873,84.47,4.5559,132.25,164.1,8.4808,46.609
455,127.13,-65.787,101.37,34.889,111.94,144.01,13.818,142.68
456,153.76,-29.184,114.33,57.844,98.614,130.9,29.561,168.3
457,156.52,23.008,125.96,78.328,87.623,120.12,48.791,170.32
458,159.28,75.2,137.59,98.812,76.632,109.35,68.021,172.33
459,162.04,127.39,149.23,119.3,65.641,98.575,87.251,174.35
460,136.51,122.48,135.68,123.3,50.637,82.596,145.16,148.07
461,89.008,73.245,102.59,114.52,32.518,62.576,233.09,99.829
462,41.511,24.01,69.496,105.73,14.399,42.555,321.02,51.588
463,-5.986,-25.225,36.403,96.944,-3.7199,22.535,408.95,3.3473
464,-34.267,-56.867,29.102,81.894,-16,8.0054,430.89,-25.677
465,-31.329,-59.926,63.706,56.664,-18.795,2.3961,345.64,-23.481
466,-28.391,-62.986,98.311,31.435,-21.59,-3.2132,260.39,-21.286
467,-25.452,-66.045,132.91,6.2061,-24.385,-8.8226,175.14,-19.09
468,-24.705,-67.999,165.57,-8.3976,-19.187,-6.4389,90.309,-19.086
469,-32.613,-65.588,190.53,18.975,17.587,27.521,7.1306,-27.737
470,-40.522,-63.177,215.49,46.347,54.361,61.48,-76.048,-36.389
471,-48.43,-60.766,240.46,73.719,91.134,95.44,-159.23,-45.041
472,-56.081,-59.657,264.96,99.098,127.95,129.44,-239.18,-53.407
473,-55.387,-100.63,274.78,60.025,166.16,164.84,-214.77,-52.522
474,-54.694,-141.61,284.6,20.952,204.38,200.24,-190.36,-51.636
475,-54.001,-182.58,294.43,-18.12,242.59,235.64,-165.95,-50.751
476,-53.307,-223.56,304.25,-57.193,280.8,271.04,-141.54,-49.865
477,-58.809,-145.39,296.67,-62.578,276.89,264.31,-126.31,-50.197
478,-65.31,-47.979,286.29,-62.525,266.18,250.79,-112.57,-50.726
479,-71.812,49.428,275.9,-62.471,255.47,237.26,-98.818,-51.255
480,-78.313,146.84,265.52,-62.418,244.76,223.74,-85.071,-51.783
481,-37.263,173.92,284.96,-39.838,264.87,243.58,-50.161,-4.7599
482,24.459,170.44,317.38,-7.4652,298.39,277.92,-6.0504,62.935
483,86.182,166.96,349.79,24.907,331.9,312.26,38.06,130.63
484,147.9,163.48,382.21,57.28,365.41,346.6,82.17,198.33
485,174.77,137.75,360.25,79.091,347.21,332,85.935,231.16
486,171.45,92.753,291.22,91.759,284.24,275.03,54.774,233.82
487,168.14,47.758,222.19,104.43,221.28,218.07,23.613,236.48
488,164.82,2.7638,153.17,117.1,158.32,161.1,-7.5474,239.14
489,160.71,-1.1523,130.67,115.09,130.94,138.25,0.48331,240.99
490,155.29,61.671,183.77,89.224,161.38,170.85,72.187,241.55
491,149.88,124.49,236.87,63.364,191.83,203.45,143.89,242.11
492,144.47,187.32,289.97,37.503,222.27,236.05,215.6,242.67
493,150.54,238.44,330.63,28.637,246.86,262.41,265.28,253.33
494,195.26,250.15,329.39,76.986,251.74,267.79,240.84,297.95
495,239.98,261.86,328.15,125.34,256.61,273.17,216.4,342.58
496,284.71,273.57,326.91,173.68,261.49,278.55,191.96,387.21
497,323.43,287.15,327.54,216.89,266.43,283.77,171.03,424.35
498,296.73,321.14,348.47,204.02,272.09,287.34,188.37,379.86
499,270.03,355.12,369.41,191.15,277.74,290.9,205.7,335.36
500,243.33,389.11,390.35,178.28,283.4,294.46,223.03,290.86
501,216.63,423.1,411.28,165.41,289.05,298.02,240.37,246.36
502,118.56,387.41,391.18,122.41,262.65,269.53,199.71,140.74
503,16.183,347.5,368.59,77.587,234.32,239.09,155.55,31.423
504,-86.195,307.6,346,32.767,205.98,208.66,111.39,-77.895
505,-188.57,267.7,323.41,-12.053,177.64,178.23,67.229,-187.21
506,-141.35,231.85,296.65,-32.407,223.24,233.33,62.624,-141.35
507,-57.649,197,268.88,-46.797,286.87,309.29,67.662,-57.649
508,26.048,162.14,241.1,-61.187,350.5,385.24,72.7,26.048
509,109.74,127.29,213.32,-75.577,414.13,461.19,77.738,109.74
510,107.14,143.55,240.92,-70.792,429.63,487.57,67.532,107.93
511,62.231,184.88,295.66,-56.606,421.54,489.63,49.852,64.195
512,17.318,226.2,350.4,-42.42,413.45,491.7,32.172,20.457
513,-27.596,267.53,405.14,-28.234,405.36,493.77,14.492,-23.281
514,-11.501,279.98,397.13,3.7517,387.49,468.07,13.012,-3.8815
515,56.145,268.03,336.09,50.777,361.36,418.91,25.222,68.869
516,123.79,256.08,275.05,97.803,335.22,369.75,37.432,141.62
517,191.44,244.12,214.01,144.83,309.08,320.59,49.642,214.37
518,235.61,208.63,196.12,162.11,313.56,298.86,59.243,263.65
519,246.96,140.22,238.53,137.79,360.84,315.48,65.197,280.1
520,258.31,71.814,280.94,113.47,408.12,332.11,71.15,296.56
521,269.66,3.4054,323.35,89.157,455.4,348.73,77.104,313.01
522,268.86,-50.279,360.8,75.072,491.05,377.74,89.163,317.31
523,239.16,-68.946,386.45,85.32,499.06,436.22,115.74,292.71
524,209.45,-87.613,412.1,95.568,507.06,494.69,142.32,268.11
525,179.75,-106.28,437.76,105.82,515.07,553.17,168.9,243.51
526,149.51,-119.61,451.69,109.13,514.99,594.35,178.6,218.47
527,116.85,-108.61,412.22,80.845,478.13,556.72,111.42,191.42
528,84.177,-97.616,372.75,52.562,441.27,519.09,44.241,164.37
529,51.509,-86.621,333.28,24.28,404.41,481.46,-22.94,137.32
530,19.021,-75.509,297.11,-3.984,369.22,445.5,-85.964,108.97
531,-11.049,-62.812,305.37,-31.987,356.58,432.08,-92.901,63.093
532,-41.119,-50.116,313.63,-59.99,343.93,418.67,-99.838,17.218
533,-71.189,-37.42,321.89,-87.993,331.28,405.25,-106.77,-28.656
534,-101.26,-24.724,330.15,-116,318.64,391.83,-113.71,-74.531
535,-95.201,-62.974,321.05,-135.75,291.53,360.39,-113.56,-85.751
536,-87.756,-103.18,311.29,-155.19,263.87,328.26,-113.13,-95.64
537,-80.311,-143.39,301.53,-174.62,236.22,296.13,-112.7,-105.53
538,-72.866,-183.6,291.77,-194.06,208.56,264,-112.28,-115.42
539,-108.23,-177.52,285.23,-148.53,189.01,230.44,-102.4,-144.16
540,-150.57,-163.91,279.23,-92.426,170.78,196.64,-90.988,-175.98
541,-192.91,-150.31,273.22,-36.32,152.55,162.84,-79.575,-207.79
542,-235.24,-136.7,267.21,19.786,134.32,129.05,-68.161,-239.61
543,-217.14,-119.06,208.79,32.657,149.5,140.47,-60.222,-244.72
544,-180.15,-100.17,133.99,32.024,175.11,166.02,-53.37,-241.48
545,-143.17,-81.269,59.202,31.39,200.73,191.57,-46.517,-238.25
546,-106.19,-62.373,-15.591,30.757,226.34,217.12,-39.664,-235.02
547,-99.598,-51.038,-2.971,16.417,200.23,190.94,-57.364,-234.94
548,-108.12,-43.461,53.093,-4.7363,148.4,139.06,-87.266,-236.43
549,-116.64,-35.884,109.16,-25.889,96.578,87.168,-117.17,-237.92
550,-125.16,-28.307,165.22,-47.042,44.754,35.28,-147.07,-239.41
551,-146.23,-44.274,200.18,-58.231,40.764,31.225,-147.25,-253.45
552,-176.47,-77.431,219.72,-62.144,71.696,62.093,-125.74,-276.66
553,-206.71,-110.59,239.27,-66.057,102.63,92.961,-104.22,-299.87
554,-236.95,-143.74,258.81,-69.97,133.56,123.83,-82.703,-323.08
555,-253.9,-161.24,248.28,-85.534,131.02,121.23,-85.139,-333
556,-257.25,-162.7,206.95,-113.03,94.197,84.337,-112.11,-329.32
557,-260.6,-164.15,165.62,-140.53,57.372,47.449,-139.08,-325.64
558,-263.95,-165.61,124.29,-168.03,20.548,10.56,-166.05,-321.96
559,-261.28,-148.93,101.58,-163.14,26.32,16.268,-177.06,-312.26
560,-250.04,-106.49,105.34,-112.23,92.635,82.519,-165.36,-293.99
561,-238.8,-64.054,109.1,-61.312,158.95,148.77,-153.66,-275.72
562,-227.56,-21.613,112.86,-10.397,225.27,215.02,-141.97,-257.45
563,-189.96,6.8087,109.66,30.228,259.93,249.65,-123.02,-213.09
564,-100.49,7.6492,92.749,50.611,232.33,222.08,-89.791,-117.43
565,-11.029,8.4898,75.839,70.993,204.73,194.51,-56.565,-21.759
566,78.437,9.3303,58.928,91.375,177.13,166.94,-23.339,73.909
567,145.12,-0.26393,51.163,97.399,162.19,152.08,1.4449,145.16
568,148.94,-38.652,68.633,63.802,182.2,172.26,2.934,149.03
569,152.76,-77.04,86.103,30.204,202.22,192.45,4.4231,152.9
570,156.59,-115.43,103.57,-3.3928,222.23,212.64,5.9122,156.77
571,148.7,-141.78,123.31,-28.207,236.85,227.45,-0.90192,148.94
572,93.42,-119.4,152.22,-17.447,229.66,220.43,-41.348,93.705
573,38.136,-97.026,181.12,-6.6864,222.47,213.42,-81.795,38.47
574,-17.149,-74.647,210.03,4.0741,215.28,206.41,-122.24,-16.765
575,-69.632,-54.625,233.81,13.998,210.41,201.71,-153.23,-69.199
576,-104.47,-49.454,225.29,18.652,220.16,211.64,-124.61,-103.99
577,-139.31,-44.282,216.77,23.306,229.92,221.57,-96,-138.77
578,-174.14,-39.11,208.25,27.96,239.67,231.51,-67.386,-173.56
579,-201.91,-32.955,200.78,32.543,248.9,240.91,-41.239,-201.28
580,-146.09,-15.176,205.69,36.286,251.93,244.12,-44.237,-145.41
581,-90.268,2.6028,210.59,40.028,254.96,247.33,-47.236,-89.536
582,-34.447,20.382,215.5,43.771,257.99,250.53,-50.234,-33.665
583,20.317,37.831,219.22,47.28,259.77,252.5,-52.733,21.148
584,28.059,40.611,169.95,40.377,206.22,199.12,-33.025,28.94
585,35.8,43.391,120.67,33.475,152.67,145.75,-13.316,36.731
586,43.542,46.17,71.403,26.572,99.125,92.378,6.3929,44.523
587,51.284,48.95,22.131,19.67,45.575,39.006,26.102,52.314
588,18.828,40.625,61.106,-1.6207,51.938,45.546,7.5475,19.907
589,-14.744,31.992,102.53,-23.311,59.964,53.749,-12.069,-13.615
590,-48.316,23.359,143.95,-45,67.99,61.952,-31.684,-47.137
591,-81.888,14.726,185.38,-66.69,76.016,70.155,-51.3,-80.659
592,-81.424,22.954,167.88,-59.375,95.045,89.362,-60.03,-90.953
593,-78.281,32.511,145.75,-49.775,114.94,109.44,-67.902,-99.417
594,-75.137,42.067,123.61,-40.176,134.84,129.51,-75.774,-107.88
595,-71.993,51.623,101.48,-30.576,154.73,149.58,-83.647,-116.35
596,-85.63,11.666,87.163,-22.709,129.07,123.67,-89.492,-152.26
597,-101.38,-34.537,73.833,-15.06,97.67,91.967,-95.081,-191.63
598,-117.14,-80.739,60.504,-7.4109,66.265,60.259,-100.67,-231
599,-132.89,-126.94,47.174,0.23808,34.861,28.552,-106.26,-270.37
600,-116.08,-143.19,85.624,-14.944,67.646,59.825,-77.254,-256.37
601,-93.602,-154.23,133.07,-34.093,111.58,102.04,-42.24,-233.11
602,-71.129,-165.27,180.51,-53.242,155.52,144.25,-7.2247,-209.84
603,-48.656,-176.32,227.96,-72.39,199.45,186.46,27.79,-186.58
604,-62.642,-181.05,179.76,-91.282,158.54,143.83,37.298,-195.62
605,-84.631,-184.4,110.56,-110.12,99.01,82.574,41.207,-211.76
606,-106.62,-187.75,41.362,-128.95,39.476,21.317,45.115,-227.89
607,-128.61,-191.1,-27.836,-147.79,-20.057,-39.94,49.024,-244.02
