wavenumber,neuron-1 sub,neuron-2 sub,neuron-2 sub2,neuron-3 sub good,neuron-3 sub2,neuron-4 sub,neuron-5 sub,neuron-7 sub
401,261.04,132.57,262.31,324.71,-6.976,130.96,-20.229,92.104
402,207.6,131.92,278.2,360.12,45.501,90.913,-33.33,51.247
403,154.16,131.27,294.1,395.53,97.979,50.863,-46.43,10.39
404,100.72,130.62,309.99,430.94,150.46,10.812,-59.531,-30.466
405,53.219,105.73,317.78,435.99,181.28,-33.87,-91.803,-64.426
406,17.729,31.845,309.16,379.64,168.35,-87.915,-162.83,-84.446
407,-17.76,-42.041,300.54,323.3,155.42,-141.96,-233.85,-104.46
408,-53.25,-115.93,291.93,266.96,142.49,-196.01,-304.87,-124.48
409,-86.54,-182.17,287.23,216.15,132.1,-243.85,-362.06,-143.82
410,-97.853,-172.11,321.71,220.55,147.11,-229.8,-281.08,-156.29
411,-109.17,-162.05,356.19,224.95,162.13,-215.75,-200.1,-168.76
412,-120.48,-151.99,390.66,229.35,177.14,-201.7,-119.12,-181.23
413,-131.79,-141.93,425.14,233.75,192.15,-187.64,-38.146,-193.71
414,-130.34,-101.44,436.43,236.43,227.1,-157.77,1.5089,-149.4
415,-126.75,-55.873,443.86,238.83,265.36,-125.27,34.269,-95.628
416,-123.16,-10.306,451.28,241.22,303.63,-92.758,67.029,-41.851
417,-119.57,35.26,458.71,243.62,341.89,-60.25,99.789,11.925
418,-101.79,53.469,448.15,214.23,324.95,-35.648,112.28,51.974
419,-75.53,55.333,426.86,165.86,275.03,-15.769,112.65,83.821
420,-49.271,57.197,405.56,117.48,225.11,4.1099,113.03,115.67
421,-23.013,59.061,384.26,69.1,175.18,23.989,113.41,147.52
422,-6.9151,56.689,376.07,58.889,174.49,39.304,104.7,148.51
423,-6.0578,47.964,387.52,105.93,247.63,47.774,82.379,103.24
424,-5.2005,39.239,398.98,152.97,320.78,56.245,60.056,57.958
425,-4.3432,30.513,410.43,200.01,393.93,64.715,37.732,12.68
426,-1.8015,21.292,414.24,234.6,442.53,73.055,19.671,-20.203
427,8.5181,9.7783,382.78,211.73,377.78,80.792,21.292,4.1502
428,18.838,-1.7351,351.31,188.86,313.03,88.529,22.912,28.504
429,29.157,-13.249,319.84,165.99,248.28,96.265,24.533,52.857
430,39.477,-24.762,288.37,143.12,183.53,104,26.154,77.21
431,49.646,-12.295,293.64,164.15,182.05,111.27,88.105,91.781
432,59.808,1.1444,300.41,186.95,183.13,118.53,152.5,105.96
433,69.971,14.584,307.17,209.75,184.22,125.78,216.9,120.13
434,80.133,28.024,313.93,232.55,185.3,133.03,281.3,134.3
435,66.858,5.0833,334.6,235.95,223.89,102.86,304.19,128.55
436,45.645,-30.179,359.99,232.78,275.17,60.014,313.03,116.05
437,24.432,-65.442,385.37,229.61,326.46,17.166,321.86,103.55
438,3.2191,-100.7,410.76,226.43,377.74,-25.682,330.7,91.053
439,-1.1938,-103.83,423.53,233.29,414.87,-34.824,301.79,78.274
