wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
401,69.544,179.51,69.756,635.73,207.77,13.737
402,58.413,237.89,72.411,632.85,160.75,20.069
403,47.282,296.26,75.065,629.98,113.74,26.401
404,36.152,354.63,77.72,627.1,66.727,32.733
405,48.012,405.16,91.713,613.57,59.429,42.788
406,106.34,439.83,128.62,578.51,132.4,60.368
407,164.67,474.5,165.53,543.45,205.37,77.948
408,223,509.17,202.44,508.39,278.35,95.528
409,280.07,537.25,245.83,481.93,346.54,117.5
410,324.64,499.52,354,541.3,367.02,183.3
411,369.2,461.8,462.17,600.66,387.5,249.11
412,413.77,424.07,570.34,660.03,407.98,314.92
413,458.33,386.34,678.5,719.4,428.46,380.72
414,473.75,375.42,716.38,694.87,410.45,343.71
415,484.31,368.97,742.53,656.35,386.03,289.53
416,494.87,362.52,768.68,617.83,361.6,235.36
417,505.42,356.06,794.83,579.3,337.17,181.18
418,478.47,377.99,729.75,561.64,362.08,166.92
419,429.1,416.87,610.18,556.45,416.45,176.5
420,379.73,455.74,490.6,551.25,470.82,186.08
421,330.36,494.62,371.02,546.05,525.19,195.67
422,318.5,513.23,317.62,560.6,553.28,223.24
423,362.9,501.42,363.49,604.75,541.95,277.81
424,407.3,489.61,409.36,648.91,530.63,332.38
425,451.7,477.8,455.23,693.07,519.3,386.95
426,483.67,475.18,492.89,719.06,497.47,417.75
427,458.29,515.01,492.65,661.17,427.14,338.74
428,432.91,554.84,492.41,603.28,356.8,259.73
429,407.53,594.68,492.17,545.39,286.47,180.73
430,382.15,634.51,491.92,487.5,216.13,101.72
431,319.31,615.51,471.24,466.56,235.76,131.05
432,254.95,594.13,449.74,447.13,259.04,164.77
433,190.59,572.74,428.23,427.69,282.32,198.49
434,126.23,551.36,406.72,408.26,305.6,232.22
435,134.47,505.06,377.6,365.37,289.07,235.37
436,167.3,450.32,345.9,314.53,259.07,228.18
437,200.13,395.57,314.2,263.7,229.06,220.98
438,232.96,340.83,282.5,212.86,199.05,213.79
439,249.57,308.23,243.42,167.2,168.98,207.4
440,252.3,294.55,198.03,125.95,138.86,201.7
441,255.03,280.87,152.64,84.706,108.73,195.99
442,257.76,267.19,107.24,43.461,78.609,190.29
443,261.14,241.43,93.367,25.886,56.52,185.8
444,265.8,191.79,141.78,55.087,50.307,183.7
445,270.47,142.16,190.19,84.288,44.095,181.61
446,275.13,92.518,238.6,113.49,37.882,179.51
447,276.36,55.554,283.51,140.71,34.203,179.76
448,255.4,100.5,305.81,155.14,46.896,195.17
449,234.44,145.45,328.11,169.56,59.59,210.57
450,213.49,190.39,350.41,183.99,72.283,225.98
451,192.53,235.34,372.72,198.41,84.977,241.39
452,194.38,184.23,347.96,175.14,128.3,219.59
453,197.68,126.99,320.19,149.47,173.58,195.42
454,200.99,69.743,292.43,123.79,218.86,171.25
455,204.3,12.501,264.66,98.12,264.13,147.08
456,167.4,2.1944,205.05,82.733,235.15,109.36
457,117.04,7.617,134.76,70.795,181.28,67.101
458,66.67,13.04,64.471,58.856,127.41,24.841
459,16.305,18.462,-5.8158,46.917,73.539,-17.419
460,20.841,40.869,-24.78,32.362,40.574,-17.293
461,67.993,76.459,-3.906,15.778,23.836,15.734
462,115.14,112.05,16.967,-0.80633,7.0975,48.761
463,162.3,147.64,37.841,-17.391,-9.6409,81.788
464,182.21,177.68,75.015,-18.389,-21.543,94.832
465,157.86,198.69,138.67,5.9359,-25.587,75.411
466,133.52,219.71,202.33,30.261,-29.631,55.989
467,109.17,240.73,265.98,54.585,-33.675,36.567
468,93.143,254.45,310.95,75.308,-28.928,25.288
469,109.98,239.33,282.08,81.803,10.549,46.178
470,126.81,224.21,253.21,88.298,50.026,67.068
471,143.65,209.09,224.34,94.794,89.502,87.958
472,159.67,193.4,197.06,100.46,127.75,108.43
473,149.45,159.1,221.37,79.413,126.34,115.54
474,139.24,124.8,245.68,58.364,124.92,122.64
475,129.02,90.509,269.98,37.315,123.51,129.75
476,118.81,56.212,294.29,16.266,122.09,136.85
477,124.87,72.627,312.32,-4.4636,104.96,116.23
478,133.55,97.229,329.35,-25.141,85.295,91.138
479,142.24,121.83,346.37,-45.819,65.626,66.042
480,150.93,146.43,363.39,-66.496,45.958,40.946
481,148.34,190.01,381.8,-28.643,98.977,92.626
482,140.84,241.85,400.8,34.655,183.6,177.68
483,133.35,293.68,419.81,97.953,268.21,262.74
484,125.85,345.52,438.82,161.25,352.83,347.8
485,158.33,380.05,455.08,204.94,391.37,418.29
486,225.41,399.61,468.96,231.67,390.01,476.17
487,292.48,419.17,482.85,258.39,388.64,534.05
488,359.56,438.73,496.73,285.11,387.28,591.93
489,396.79,447.51,524.73,305.62,401.17,613.62
490,385.54,438.79,575.66,316.03,439.84,576.5
491,374.3,430.08,626.59,326.44,478.5,539.38
492,363.05,421.36,677.53,336.84,517.17,502.26
493,349.45,408.54,703.05,346.39,531.62,481.06
494,327.93,381.88,643.03,353.04,464.57,513.47
495,306.4,355.22,583.02,359.68,397.51,545.88
496,284.88,328.56,523,366.33,330.46,578.29
497,262.53,305.75,465.81,371.12,272.61,607.25
498,231.11,324.79,439.33,355.64,315.23,598.54
