day,organ,group,filename,spectrum_path,background_path,has_background
D10,Fatbody,1_RAPA,D10_RAPA_1,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_1.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_1_BG.txt,True
D10,Fatbody,1_RAPA,D10_RAPA_2,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_2.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_2_BG.txt,True
D10,Fatbody,1_RAPA,D10_RAPA_3,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_3.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_3_BG.txt,True
D10,Fatbody,1_RAPA,D10_RAPA_4,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_4.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_4_BG.txt,True
D10,Fatbody,1_RAPA,D10_RAPA_5,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_5.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\1_RAPA\D10_RAPA_5_BG.txt,True
D10,Fatbody,2_RAPA,D10_RAPA_1,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_1.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_1_BG.txt,True
D10,Fatbody,2_RAPA,D10_RAPA_2,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_2.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_2_BG.txt,True
D10,Fatbody,2_RAPA,D10_RAPA_3,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_3.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_3_BG.txt,True
D10,Fatbody,2_RAPA,D10_RAPA_4,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_4.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_4_BG.txt,True
D10,Fatbody,2_RAPA,D10_RAPA_5,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_5.txt,D:\Chrome\Workspace\Projects\Rapamycin\data\spontaneous\Rapamycin_2\Rapa_D10\Fatbody\2_RAPA\D10_RAPA_5_BG.txt,True
