organ,day,group,treatment,sample_name,baseline_2300_2600,denominator_2930,1260,1300,1442,1580,1655,2142,2180
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_1,240.3019692982456,5808.360030701755,0.16025883825753343,0.19297134213051453,0.22613250965144885,0.05835348169021895,0.16486530201986452,0.028371180476194535,0.031477565050261676
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_2,536.1165175438597,1805.5774824561408,0.17544607502815115,0.23573537363632882,0.26649561546458234,0.06758473875634667,0.1345599869387173,0.0,0.022464548240247333
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_3,581.4928815789474,2895.928118421053,0.20612463224622868,0.22469588049576153,0.2719218455085144,0.08777639085864009,0.2048866871545685,0.001855059311341491,0.006352063196610729
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_4,524.7043245614036,3088.0486754385965,0.18754324698471295,0.23606579819699858,0.28326939351574676,0.07108523812611814,0.19846082100747725,0.044795820913978684,0.02318994386590276
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_5,1330.6253289473682,5088.047671052633,0.22956559108082872,0.2523969416322215,0.29457166440867016,0.12723754039016252,0.24631995454424416,0.0,0.0
Ovary,D10,1_RAPA,RAPA,rapa_D10_RAPA_6,523.9148245614035,5267.792175438597,0.20191954048567515,0.2432503281760366,0.25884889343134837,0.09663140809009123,0.2061026971604476,0.0034054447937864793,0.016455693875466713
Ovary,D10,2_RAPA,RAPA,D10_RAPA_1,429.1427631578947,2656.002236842105,0.20405112214305857,0.25784851659476155,0.20861022974923188,0.12673078063454787,0.21393665598628964,0.01766837248522053,0.011182308670574738
Ovary,D10,2_RAPA,RAPA,D10_RAPA_2,474.6496754385965,2605.3503245614033,0.17030620426682896,0.2020888782586422,0.15456782174934441,0.09520920170425144,0.16180293321297193,0.0,0.024769922091865893
Ovary,D10,2_RAPA,RAPA,D10_RAPA_3,872.0826052631579,3235.734394736842,0.19189875279838653,0.2236529042414491,0.2001364499478671,0.14947376259421852,0.2054477635179655,0.014040520387192303,0.021267627790704045
Ovary,D10,2_RAPA,RAPA,D10_RAPA_4,290.6586535087719,1233.9243464912279,0.11520426426097637,0.21004071054130113,0.2050217642682898,0.07255091995371739,0.09667557563836122,0.05626223900082647,0.07697663698858163
